编号,开始时间,提交时间,答题时长_秒,城市,坐席规模,合作时长,月结算金额_万元,结算账期,资金周转困难,月总成本_万元,人力成本占比,场地成本占比,运营成本占比,设备成本占比,人力成本_万元,场地成本_万元,运营成本_万元,设备成本_万元,总毛利率,人力后毛利率,核心毛利率,坐席平均薪资_元,稳定留存薪资_区间,城市最低工资_元,TOP坐席薪资_区间,盈亏平衡点_原始,mob3留存率_区间,薪酬占结算比_区间,是否降薪,运营状态,友商结算单价,友商薪资区间,是否有淡旺季,业务稳定性,盈利问题,京东建议,规模分组,风险等级,数据异常
65244301,2026/3/5 16:18,2026/3/5 16:58,2414,二、三线,51-80人,3&nbsp;年以上,78,T+60,是，偶尔需要周转,62,78,2,5,2,48.36,1.24,3.1,1.24,20.51282051,38,36.41025641,5500,7000-9000,2400,15000以上,目前已在盈亏平衡点附近,40%-50%,50%-60%,是,正常运营，无异常,京东的&nbsp;110%-120%,7000-9000,是,波动较大（10%-30%）,人员波动大，结算调整有点快,都挺好，就是希望结算政策可以相对稳定一点,中型,极度敏感,TRUE
65246541,2026/3/5 16:33,2026/3/5 17:17,2674,鸡西市,30人以下,1-2&nbsp;年,10,T+60,否，资金周转正常,6,60,10,10,20,3.6,0.6,0.6,1.2,40,64,58,5500,7000-9000,2000,15000以上,目前已在盈亏平衡点附近,40%-50%,60%-70%,否,正常运营，无异常,京东的&nbsp;110%-120%,7000-9000,否,波动较大（10%-30%）,结算单价、资源质量,咱无,小型,极度敏感,FALSE
65246770,2026/3/5 17:09,2026/3/5 17:20,640,石家庄,30-50人,3&nbsp;年以上,42,T+45,否，资金周转正常,37,75,5,5,12,27.75,1.85,1.85,4.44,11.9047619,33.92857143,29.52380952,6500,9000-11000,2380,15000以上,目前已在盈亏平衡点附近,61%-70%,70%以上,否,正常运营，无异常,京东的&nbsp;120%&nbsp;以上,9000-11000,否,稳定（波动&lt;10%）,"1，首贷中产批次质量不稳定，开单难度大，需要老员工绩优坐席打，存在转化率不理想就会直接导致亏损；
2，实时 一元批次提点低，新员工前3月每日3单 月度90单，是亏损状态；
3，通讯费占结算收入比例较大","1，首贷 实时 一元批次提点由0.4提升到0.5%（互金平台基本都在0.5及以上）
2，通讯费甲方支付（目前业内只有京东收入通讯费）
3，增加职场维度月度激励
4，因为首贷业务难度大，建议给予新人结算保护",中型,极度敏感,FALSE
65249988,2026/3/5 17:04,2026/3/5 17:56,,苏州,30人以下,6&nbsp;个月以内,2.6,T+60,是，偶尔需要周转,17.8,78,11,10,2,13.884,1.958,1.78,0.356,-584.6153846,-434,-509.3076923,6751,7000-9000,2660,7000-9000,目前已在盈亏平衡点附近,40%以下,70%以上,是,维持现状，观望中,京东的&nbsp;120%&nbsp;以上,7000-9000,是,波动较大（10%-30%）,"1、业务定价相对较低。
2、业务定价及规则变动比较频繁 。
3、结算周期过长","1、提升结算价格 
2、缩短结算周期",小型,极度敏感,FALSE
65254583,2026/3/5 16:38,2026/3/5 18:43,,昆明,51-80人,3&nbsp;年以上,60,T+60,否，资金周转正常,45,70,8,6,2,31.5,3.6,2.7,0.9,25,47.5,41.5,4000,5000-7000,,7000-9000,下降&nbsp;5%-10%&nbsp;会亏损,51%-60%,60%-70%,否,正常运营，无异常,京东的&nbsp;110%-120%,5000-7000,是,波动较大（10%-30%）,结算下降，坐席，管理工资成本无法随之下降，职场结算下降，坐席福利待遇、固定薪资未发生变化，导致利润收缩,"1 、结算变动比较频繁，可以考虑季度变化；希望当月宣导，次月生效，部分变动是当月宣导当月生效，坐席维度，职场不变则利润得不到保障，职场跟着变动，坐席维度则异动较大；
3 、扣罚金额过高：目前复贷扣罚金额环比年度增长40%以上，可优化扣罚规则，例如舆情翻倍扣罚，以及客诉违规校准扣罚金额较重； 职场承担大部分扣罚金额，如果给坐席承担，例如舆情投诉，工信部投诉，超频，有较大的概率影响，扣罚到坐席，坐席就异动或者影响心态导致业绩波动；
4 、赛马规则优化建议：对于拿到增员的职场，如果增员比例＞职场份额20%，增员部分希望给到 1个月成长周期，否则增员后，影响职场赛马，可能又面临减员；
谢谢",中型,高风险,FALSE
65256642,2026/3/5 18:50,2026/3/5 18:54,225,南昌,30人以下,6&nbsp;个月以内,4,T+90,否，资金周转正常,5,125,3.46,23,1.3,6.25,0.173,1.15,0.065,-25,-56.25,-60.575,5500,7000-9000,2240,7000-9000,目前已在盈亏平衡点附近,80%以上,70%以上,否,正常运营，无异常,京东的&nbsp;120%&nbsp;以上,9000-11000,否,稳定（波动&lt;10%）,刚开始合作首贷业务，就遇到2月短月影响,无,小型,极度敏感,TRUE
65264391,2026/3/5 16:43,2026/3/5 20:29,,合肥/宿州,101-200人,3&nbsp;年以上,170,T+30,否，资金周转正常,117,70,4,2,1,81.9,4.68,2.34,1.17,31.17647059,51.82352941,49.07058824,,9000-11000,2320,15000以上,下降&nbsp;10%-20%&nbsp;会亏损,61%-70%,60%-70%,是,正常运营，无异常,京东的&nbsp;110%-120%,9000-11000,是,波动较大（10%-30%）,降价影响以及社保成本以及15%的（6个月+）老员工流失,建议按成交CPS模式，不建议采用CPA模式；另外整合批次，现在批次拆的有点多。建议未激活提下价，难度会更高。,大型,中风险,FALSE
65311419,2026/3/6 11:00,2026/3/6 14:50,,合肥,101-200人,3&nbsp;年以上,120,T+45,是，偶尔需要周转,100,70,5,15,1,70,5,15,1,16.66666667,41.66666667,37.5,6500,7000-9000,2320,15000以上,下降&nbsp;5%-10%&nbsp;会亏损,61%-70%,60%-70%,是,扩张中（招聘坐席/扩大场地）,京东的&nbsp;110%-120%,7000-9000,是,波动很大（&gt;30%）,业务波动大造成人员稳定性不足，招聘、培养、留存成本加大；质检扣罚对营销力度的限制等,结算政策调整频繁度适当降低,大型,高风险,FALSE
65346799,2026/3/6 21:24,2026/3/6 21:31,403,湖北襄阳、河北廊坊、安徽亳州,51-80人,3&nbsp;年以上,52,T+45,否，资金周转正常,48,66,10,8.7,1.5,31.68,4.8,4.176,0.72,7.692307692,39.07692308,29.84615385,4500,7000-9000,4000,9000-11000,目前已在盈亏平衡点附近,51%-60%,70%以上,否,正常运营，无异常,京东的&nbsp;120%&nbsp;以上,7000-9000,否,波动很大（&gt;30%）,1、结算规则的调整 2、员工信心缺失，收入下降，流失率较大。 3、件均的波动较大 4、未激活名单的波动性较大 5、首贷员工成长周期较长，新人的留存问题 6、复贷的名单员工反馈目前比较难打，权益少,1、不要一直调整，调整需要有过渡期， 和员工的正向引导的宣导多一些。 2、名单分的较细，CPS+CPA的模式，想平衡的太多，重心不够。可以简单一点，导向更明确些。,中型,极度敏感,FALSE
65432371,2026/3/9 10:12,2026/3/9 10:49,2262,石家庄,51-80人,3&nbsp;年以上,48,T+60,是，偶尔需要周转,,95.7,6.5,1.8,1,,,,,,,,,7000-9000,,11000-15000,目前已在盈亏平衡点附近,51%-60%,70%以上,否,正常运营，无异常,京东的&nbsp;110%-120%,7000-9000,是_淡季3月、10月、12月或者线路出现异常、风控收紧,波动较大（10%-30%）,数据、风控、结算、打折、线路,"1、减少降低结算波动频率
2、建议结算是否可以调整为半包坐席+cps",中型,极度敏感,FALSE
65457419,2026/3/9 17:19,2026/3/9 17:38,1134,石家庄,30人以下,3&nbsp;年以上,24.5,T+60,否，资金周转正常,25.5,85,8,10,1,21.675,2.04,2.55,0.255,-4.081632653,11.53061224,3.204081633,4700,5000-7000,2380,11000-15000,目前已在盈亏平衡点附近,71%-80%,70%以上,是,正常运营，无异常,京东的&nbsp;110%-120%,7000-9000,否,稳定（波动&lt;10%）,1、数据结构需要优化,包坐席，考核KPI模式,小型,极度敏感,FALSE